NOC,Team,Year,Sport,Golds,Silvers,Bronzes,None,Medals
AFG,Afghanistan,1980,Boxing,0,0,0,3,0
AFG,Afghanistan,1980,Wrestling,0,0,0,8,0
AFG,Afghanistan,1988,Wrestling,0,0,0,5,0
AFG,Afghanistan,1996,Athletics,0,0,0,2,0
AFG,Afghanistan,2004,Athletics,0,0,0,2,0
AFG,Afghanistan,2004,Boxing,0,0,0,1,0
AFG,Afghanistan,2004,Judo,0,0,0,1,0
AFG,Afghanistan,2004,Wrestling,0,0,0,1,0
AFG,Afghanistan,2008,Athletics,0,0,0,2,0
AFG,Afghanistan,2008,Taekwondo,0,0,1,1,1
AFG,Afghanistan,2012,Athletics,0,0,0,2,0
AFG,Afghanistan,2012,Boxing,0,0,0,1,0
AFG,Afghanistan,2012,Judo,0,0,0,1,0
AFG,Afghanistan,2012,Taekwondo,0,0,0,2,0
AFG,Afghanistan,2016,Athletics,0,0,0,2,0
AFG,Afghanistan,2016,Judo,0,0,0,1,0
ALB,Albania,1992,Athletics,0,0,0,1,0
ALB,Albania,1992,Shooting,0,0,0,2,0
ALB,Albania,1992,Swimming,0,0,0,3,0
ALB,Albania,1992,Weightlifting,0,0,0,2,0
ALB,Albania,1996,Athletics,0,0,0,2,0
ALB,Albania,1996,Cycling,0,0,0,1,0
ALB,Albania,1996,Shooting,0,0,0,2,0
ALB,Albania,1996,Weightlifting,0,0,0,1,0
ALB,Albania,1996,Wrestling,0,0,0,1,0
ALB,Albania,2000,Athletics,0,0,0,2,0
ALB,Albania,2000,Shooting,0,0,0,2,0
ALB,Albania,2000,Weightlifting,0,0,0,1,0
ALB,Albania,2004,Athletics,0,0,0,2,0
ALB,Albania,2004,Swimming,0,0,0,2,0
ALB,Albania,2004,Weightlifting,0,0,0,2,0
ALB,Albania,2004,Wrestling,0,0,0,1,0
ALB,Albania,2008,Athletics,0,0,0,2,0
ALB,Albania,2008,Judo,0,0,0,1,0
ALB,Albania,2008,Shooting,0,0,0,2,0
ALB,Albania,2008,Swimming,0,0,0,2,0
ALB,Albania,2008,Weightlifting,0,0,0,3,0
ALB,Albania,2008,Wrestling,0,0,0,2,0
ALB,Albania,2012,Athletics,0,0,0,1,0
ALB,Albania,2012,Judo,0,0,0,1,0
ALB,Albania,2012,Shooting,0,0,0,2,0
ALB,Albania,2012,Swimming,0,0,0,2,0
ALB,Albania,2012,Weightlifting,0,0,0,3,0
ALB,Albania,2016,Athletics,0,0,0,2,0
ALB,Albania,2016,Swimming,0,0,0,2,0
ALB,Albania,2016,Weightlifting,0,0,0,2,0
ALG,Algeria,1980,Athletics,0,0,0,7,0
ALG,Algeria,1980,Boxing,0,0,0,2,0
ALG,Algeria,1980,Fencing,0,0,0,1,0
ALG,Algeria,1980,Football,0,0,0,1,0
ALG,Algeria,1980,Handball,0,0,0,1,0
ALG,Algeria,1980,Judo,0,0,0,3,0
ALG,Algeria,1980,Swimming,0,0,0,7,0
ALG,Algeria,1980,Weightlifting,0,0,1,2,1
ALG,Algeria,1980,Wrestling,0,0,0,3,0
ALG,Algeria,1984,Athletics,0,0,0,7,0
ALG,Algeria,1984,Boxing,0,0,2,5,2
ALG,Algeria,1984,Handball,0,0,0,1,0
ALG,Algeria,1984,Weightlifting,0,0,0,2,0
ALG,Algeria,1988,Athletics,0,0,0,13,0
ALG,Algeria,1988,Boxing,0,0,0,6,0
ALG,Algeria,1988,Cycling,1,0,0,0,1
ALG,Algeria,1988,Handball,0,0,0,1,0
ALG,Algeria,1988,Judo,0,0,1,4,1
ALG,Algeria,1988,Tennis,0,0,0,1,0
ALG,Algeria,1988,Weightlifting,0,0,0,2,0
ALG,Algeria,1992,Athletics,1,0,0,8,1
ALG,Algeria,1992,Boxing,1,0,1,7,2
ALG,Algeria,1992,Judo,0,0,0,3,0
ALG,Algeria,1992,Swimming,0,0,1,1,1
ALG,Algeria,1992,Volleyball,0,0,0,1,0
ALG,Algeria,1992,Weightlifting,0,0,0,2,0
ALG,Algeria,1992,Wrestling,0,0,0,2,0
ALG,Algeria,1996,Athletics,0,0,0,6,0
ALG,Algeria,1996,Boxing,1,0,1,4,2
ALG,Algeria,1996,Fencing,0,0,0,2,0
ALG,Algeria,1996,Handball,0,0,0,1,0
ALG,Algeria,1996,Judo,0,0,0,6,0
ALG,Algeria,1996,Rowing,1,0,0,0,1
ALG,Algeria,1996,Swimming,0,0,0,3,0
ALG,Algeria,1996,Weightlifting,0,0,0,2,0
ALG,Algeria,1996,Wrestling,0,0,0,2,0
ALG,Algeria,2000,Athletics,1,1,2,13,4
ALG,Algeria,2000,Boxing,0,0,1,6,1
ALG,Algeria,2000,Fencing,0,0,0,2,0
ALG,Algeria,2000,Judo,0,0,0,7,0
ALG,Algeria,2000,Rowing,0,0,0,2,0
ALG,Algeria,2000,Swimming,0,0,0,4,0
ALG,Algeria,2000,Table Tennis,0,0,0,1,0
ALG,Algeria,2000,Trampolining,0,0,0,1,0
ALG,Algeria,2000,Weightlifting,0,0,0,1,0
ALG,Algeria,2000,Wrestling,0,0,0,2,0
ALG,Algeria,2004,Athletics,0,0,0,14,0
ALG,Algeria,2004,Boxing,0,0,0,7,0
ALG,Algeria,2004,Fencing,0,0,0,6,0
ALG,Algeria,2004,Judo,0,0,0,11,0
ALG,Algeria,2004,Rowing,0,0,0,1,0
ALG,Algeria,2004,Swimming,0,0,0,10,0
ALG,Algeria,2004,Table Tennis,0,0,0,4,0
ALG,Algeria,2004,Tennis,0,0,0,1,0
ALG,Algeria,2004,Weightlifting,0,0,0,2,0
ALG,Algeria,2004,Wrestling,0,0,0,1,0
ALG,Algeria,2008,Athletics,0,0,0,9,0
ALG,Algeria,2008,Badminton,0,0,0,1,0
ALG,Algeria,2008,Boxing,0,0,0,7,0
ALG,Algeria,2008,Cycling,0,0,0,1,0
ALG,Algeria,2008,Fencing,0,0,0,2,0
ALG,Algeria,2008,Judo,0,1,1,8,2
ALG,Algeria,2008,Rowing,0,0,0,2,0
ALG,Algeria,2008,Swimming,0,0,0,6,0
ALG,Algeria,2008,Table Tennis,0,0,0,1,0
ALG,Algeria,2008,Volleyball,0,0,0,1,0
ALG,Algeria,2008,Weightlifting,0,0,0,1,0
ALG,Algeria,2008,Wrestling,0,0,0,3,0
ALG,Algeria,2012,Athletics,0,0,0,7,0
ALG,Algeria,2012,Boxing,0,0,0,8,0
ALG,Algeria,2012,Cycling,0,0,0,1,0
ALG,Algeria,2012,Fencing,0,0,0,2,0
ALG,Algeria,2012,Judo,0,0,0,2,0
ALG,Algeria,2012,Rowing,0,0,0,1,0
ALG,Algeria,2012,Shooting,0,0,0,1,0
