,Year,Team,Bronze,Gold,None,Silver,Counts
0,1976,Andorra,0,0,1,0,3
1,1976,Antigua and Barbuda,0,0,1,0,17
2,1976,Argentina,0,0,1,0,106
3,1976,Australia,0,0,0,1,15
4,1976,Australia,0,0,1,0,251
5,1976,Australia,1,0,0,0,8
6,1976,Austria,0,0,1,0,72
7,1976,Austria,1,0,0,0,1
8,1976,Bahamas,0,0,1,0,19
9,1976,Barbados,0,0,1,0,17
10,1976,Belgium,0,0,0,1,3
11,1976,Belgium,0,0,1,0,140
12,1976,Belgium,1,0,0,0,6
13,1976,Belize,0,0,1,0,4
14,1976,Bermuda,0,0,1,0,19
15,1976,Bermuda,1,0,0,0,1
16,1976,Bolivia,0,0,1,0,5
17,1976,Brazil,0,0,1,0,86
18,1976,Brazil,1,0,0,0,3
19,1976,Bulgaria,0,0,0,1,13
20,1976,Bulgaria,0,0,1,0,215
21,1976,Bulgaria,0,1,0,0,8
22,1976,Bulgaria,1,0,0,0,18
23,1976,Cameroon,0,0,1,0,4
24,1976,Canada,0,0,0,1,9
25,1976,Canada,0,0,1,0,508
26,1976,Canada,1,0,0,0,14
27,1976,Cayman Islands,0,0,1,0,2
28,1976,Chile,0,0,1,0,9
29,1976,Colombia,0,0,1,0,44
30,1976,Costa Rica,0,0,1,0,10
31,1976,Cote d'Ivoire,0,0,1,0,11
32,1976,Cuba,0,0,0,1,4
33,1976,Cuba,0,0,1,0,170
34,1976,Cuba,0,1,0,0,6
35,1976,Cuba,1,0,0,0,14
36,1976,Czechoslovakia,0,0,0,1,4
37,1976,Czechoslovakia,0,0,1,0,236
38,1976,Czechoslovakia,0,1,0,0,2
39,1976,Czechoslovakia,1,0,0,0,9
40,1976,Denmark,0,0,1,0,73
41,1976,Denmark,0,1,0,0,3
42,1976,Denmark,1,0,0,0,5
43,1976,Dominican Republic,0,0,1,0,11
44,1976,East Germany,0,0,0,1,51
45,1976,East Germany,0,0,1,0,212
46,1976,East Germany,0,1,0,0,102
47,1976,East Germany,1,0,0,0,42
48,1976,Ecuador,0,0,1,0,8
49,1976,Egypt,0,0,1,0,26
50,1976,Fiji,0,0,1,0,5
51,1976,Finland,0,0,0,1,2
52,1976,Finland,0,0,1,0,102
53,1976,Finland,0,1,0,0,4
54,1976,France,0,0,0,1,7
55,1976,France,0,0,1,0,282
56,1976,France,0,1,0,0,5
57,1976,France,1,0,0,0,8
58,1976,Great Britain,0,0,0,1,15
59,1976,Great Britain,0,0,1,0,321
60,1976,Great Britain,0,1,0,0,6
61,1976,Great Britain,1,0,0,0,11
62,1976,Greece,0,0,1,0,40
63,1976,Guatemala,0,0,1,0,28
64,1976,Haiti,0,0,1,0,14
65,1976,Honduras,0,0,1,0,3
66,1976,Hong Kong,0,0,1,0,50
67,1976,Hungary,0,0,0,1,6
68,1976,Hungary,0,0,1,0,233
69,1976,Hungary,0,1,0,0,14
70,1976,Hungary,1,0,0,0,35
71,1976,Iceland,0,0,1,0,22
72,1976,India,0,0,1,0,26
73,1976,Indonesia,0,0,1,0,11
74,1976,Iran,0,0,0,1,1
75,1976,Iran,0,0,1,0,102
76,1976,Iran,1,0,0,0,1
77,1976,Ireland,0,0,1,0,59
78,1976,Israel,0,0,1,0,34
79,1976,Italy,0,0,0,1,25
80,1976,Italy,0,0,1,0,281
81,1976,Italy,0,1,0,0,2
82,1976,Italy,1,0,0,0,4
83,1976,Jamaica,0,0,0,1,1
84,1976,Jamaica,0,0,1,0,34
85,1976,Jamaica,0,1,0,0,1
86,1976,Japan,0,0,0,1,6
87,1976,Japan,0,0,1,0,287
88,1976,Japan,0,1,0,0,25
89,1976,Japan,1,0,0,0,10
90,1976,Kuwait,0,0,1,0,21
91,1976,Lebanon,0,0,1,0,4
92,1976,Liechtenstein,0,0,1,0,9
93,1976,Luxembourg,0,0,1,0,9
94,1976,Malaysia,0,0,1,0,25
95,1976,Mexico,0,0,1,0,135
96,1976,Mexico,0,1,0,0,1
97,1976,Mexico,1,0,0,0,1
98,1976,Monaco,0,0,1,0,10
99,1976,Mongolia,0,0,0,1,1
100,1976,Mongolia,0,0,1,0,32
101,1976,Morocco,0,0,1,0,9
102,1976,Nepal,0,0,1,0,1
103,1976,Netherlands,0,0,0,1,2
104,1976,Netherlands,0,0,1,0,161
105,1976,Netherlands,1,0,0,0,12
106,1976,Netherlands Antilles,0,0,1,0,4
107,1976,New Zealand,0,0,0,1,1
108,1976,New Zealand,0,0,1,0,73
109,1976,New Zealand,0,1,0,0,15
110,1976,New Zealand,1,0,0,0,9
111,1976,Nicaragua,0,0,1,0,25
112,1976,North Korea,0,0,0,1,1
113,1976,North Korea,0,0,1,0,38
114,1976,North Korea,0,1,0,0,1
115,1976,Norway,0,0,0,1,4
116,1976,Norway,0,0,1,0,73
117,1976,Norway,0,1,0,0,2
118,1976,Pakistan,0,0,1,0,8
119,1976,Pakistan,1,0,0,0,16
120,1976,Panama,0,0,1,0,13
121,1976,Papua New Guinea,0,0,1,0,9
122,1976,Paraguay,0,0,1,0,6
123,1976,Peru,0,0,1,0,14
124,1976,Philippines,0,0,1,0,22
125,1976,Poland,0,0,0,1,29
126,1976,Poland,0,0,1,0,213
127,1976,Poland,0,1,0,0,18
128,1976,Poland,1,0,0,0,26
129,1976,Portugal,0,0,0,1,2
130,1976,Portugal,0,0,1,0,34
131,1976,Puerto Rico,0,0,1,0,111
132,1976,Puerto Rico,1,0,0,0,1
133,1976,Romania,0,0,0,1,28
134,1976,Romania,0,0,1,0,200
135,1976,Romania,0,1,0,0,4
136,1976,Romania,1,0,0,0,23
137,1976,San Marino,0,0,1,0,10
138,1976,Saudi Arabia,0,0,1,0,19
139,1976,Senegal,0,0,1,0,33
140,1976,Singapore,0,0,1,0,4
141,1976,South Korea,0,0,0,1,1
142,1976,South Korea,0,0,1,0,34
143,1976,South Korea,0,1,0,0,1
144,1976,South Korea,1,0,0,0,15
145,1976,Soviet Union,0,0,0,1,95
146,1976,Soviet Union,0,0,1,0,288
147,1976,Soviet Union,0,1,0,0,114
148,1976,Soviet Union,1,0,0,0,77
149,1976,Spain,0,0,0,1,6
150,1976,Spain,0,0,1,0,154
151,1976,Suriname,0,0,1,0,4
152,1976,Sweden,0,0,0,1,1
153,1976,Sweden,0,0,1,0,153
154,1976,Sweden,0,1,0,0,9
155,1976,Switzerland,0,0,0,1,3
156,1976,Switzerland,0,0,1,0,91
157,1976,Switzerland,0,1,0,0,1
158,1976,Switzerland,1,0,0,0,6
159,1976,Thailand,0,0,1,0,61
160,1976,Thailand,1,0,0,0,1
161,1976,Trinidad and Tobago,0,0,1,0,19
162,1976,Trinidad and Tobago,0,1,0,0,1
163,1976,Tunisia,0,0,1,0,16
164,1976,Turkey,0,0,1,0,28
165,1976,United States,0,0,0,1,58
166,1976,United States,0,0,1,0,390
167,1976,United States,0,1,0,0,70
168,1976,United States,1,0,0,0,36
169,1976,United States Virgin Islands,0,0,1,0,26
170,1976,Uruguay,0,0,1,0,15
171,1976,Venezuela,0,0,0,1,1
172,1976,Venezuela,0,0,1,0,55
173,1976,West Germany,0,0,0,1,25
174,1976,West Germany,0,0,1,0,374
175,1976,West Germany,0,1,0,0,21
176,1976,West Germany,1,0,0,0,32
177,1976,Yugoslavia,0,0,0,1,14
178,1976,Yugoslavia,0,0,1,0,76
179,1976,Yugoslavia,0,1,0,0,2
180,1976,Yugoslavia,1,0,0,0,3
181,1980,Afghanistan,0,0,1,0,11
182,1980,Algeria,0,0,1,0,63
183,1980,Andorra,0,0,1,0,2
184,1980,Angola,0,0,1,0,17
185,1980,Australia,0,0,0,1,2
186,1980,Australia,0,0,1,0,177
187,1980,Australia,0,1,0,0,6
188,1980,Australia,1,0,0,0,5
189,1980,Austria,0,0,0,1,3
190,1980,Austria,0,0,1,0,87
191,1980,Austria,0,1,0,0,1
192,1980,Austria,1,0,0,0,1
193,1980,Belgium,0,0,1,0,83
194,1980,Belgium,0,1,0,0,1
195,1980,Benin,0,0,1,0,17
196,1980,Botswana,0,0,1,0,8
197,1980,Brazil,0,0,1,0,140
198,1980,Brazil,0,1,0,0,4
199,1980,Brazil,1,0,0,0,5
200,1980,Bulgaria,0,0,0,1,44
201,1980,Bulgaria,0,0,1,0,307
202,1980,Bulgaria,0,1,0,0,8
203,1980,Bulgaria,1,0,0,0,38
204,1980,Cameroon,0,0,1,0,29
205,1980,Colombia,0,0,1,0,28
206,1980,Congo (Brazzaville),0,0,1,0,25
207,1980,Costa Rica,0,0,1,0,37
208,1980,Cuba,0,0,0,1,7
209,1980,Cuba,0,0,1,0,268
210,1980,Cuba,0,1,0,0,8
211,1980,Cuba,1,0,0,0,5
212,1980,Cyprus,0,0,1,0,15
213,1980,Czechoslovakia,0,0,0,1,18
214,1980,Czechoslovakia,0,0,1,0,266
215,1980,Czechoslovakia,0,1,0,0,17
216,1980,Czechoslovakia,1,0,0,0,16
217,1980,Denmark,0,0,0,1,2
218,1980,Denmark,0,0,1,0,52
219,1980,Denmark,0,1,0,0,4
220,1980,Denmark,1,0,0,0,2
221,1980,Dominican Republic,0,0,1,0,7
222,1980,East Germany,0,0,0,1,88
223,1980,East Germany,0,0,1,0,231
224,1980,East Germany,0,1,0,0,115
225,1980,East Germany,1,0,0,0,61
226,1980,Ecuador,0,0,1,0,16
227,1980,Ethiopia,0,0,1,0,44
228,1980,Ethiopia,0,1,0,0,2
229,1980,Ethiopia,1,0,0,0,2
230,1980,Finland,0,0,0,1,1
231,1980,Finland,0,0,1,0,116
232,1980,Finland,0,1,0,0,3
233,1980,Finland,1,0,0,0,5
234,1980,France,0,0,0,1,5
235,1980,France,0,0,1,0,171
236,1980,France,0,1,0,0,18
237,1980,France,1,0,0,0,6
238,1980,Great Britain,0,0,0,1,18
239,1980,Great Britain,0,0,1,0,281
240,1980,Great Britain,0,1,0,0,5
241,1980,Great Britain,1,0,0,0,24
242,1980,Greece,0,0,1,0,40
243,1980,Greece,0,1,0,0,1
244,1980,Greece,1,0,0,0,4
245,1980,Guatemala,0,0,1,0,10
246,1980,Guinea,0,0,1,0,10
247,1980,Guyana,0,0,1,0,9
248,1980,Guyana,1,0,0,0,1
249,1980,Hungary,0,0,0,1,13
250,1980,Hungary,0,0,1,0,331
251,1980,Hungary,0,1,0,0,8
252,1980,Hungary,1,0,0,0,40
253,1980,Iceland,0,0,1,0,12
254,1980,India,0,0,1,0,62
255,1980,India,0,1,0,0,16
256,1980,Iraq,0,0,1,0,44
257,1980,Ireland,0,0,0,1,2
258,1980,Ireland,0,0,1,0,54
259,1980,Ireland,1,0,0,0,1
260,1980,Italy,0,0,0,1,21
261,1980,Italy,0,0,1,0,166
262,1980,Italy,0,1,0,0,8
263,1980,Italy,1,0,0,0,8
264,1980,Jamaica,0,0,1,0,29
265,1980,Jamaica,1,0,0,0,3
266,1980,Jordan,0,0,1,0,6
267,1980,Kuwait,0,0,1,0,67
268,1980,Laos,0,0,1,0,19
269,1980,Lebanon,0,0,1,0,18
270,1980,Lebanon,1,0,0,0,1
271,1980,Lesotho,0,0,1,0,7
272,1980,Libya,0,0,1,0,38
273,1980,Luxembourg,0,0,1,0,4
274,1980,Madagascar,0,0,1,0,18
275,1980,Mali,0,0,1,0,7
276,1980,Malta,0,0,1,0,12
277,1980,Mexico,0,0,0,1,1
278,1980,Mexico,0,0,1,0,64
279,1980,Mexico,1,0,0,0,9
280,1980,Mongolia,0,0,0,1,2
281,1980,Mongolia,0,0,1,0,53
282,1980,Mongolia,1,0,0,0,2
283,1980,Mozambique,0,0,1,0,16
284,1980,Myanmar,0,0,1,0,2
285,1980,Nepal,0,0,1,0,10
286,1980,Netherlands,0,0,0,1,1
287,1980,Netherlands,0,0,1,0,106
288,1980,Netherlands,1,0,0,0,5
289,1980,New Zealand,0,0,1,0,7
290,1980,Nicaragua,0,0,1,0,6
291,1980,Nigeria,0,0,1,0,56
292,1980,North Korea,0,0,0,1,3
