,Year,Summer,Games,Host,NOC,Team,Names,Females,Sports,Events,Medals,Golds,Silvers,Bronzes,Athletes per Event
2457,1976,1,1976 Summer,0,AHO,Netherlands Antilles,4,0,2,4,0,0,0,0,1.0
2458,1976,1,1976 Summer,0,AND,Andorra,3,0,2,2,0,0,0,0,1.5
2459,1976,1,1976 Summer,0,ANT,Antigua and Barbuda,10,0,2,11,0,0,0,0,0.909
2460,1976,1,1976 Summer,0,ARG,Argentina,69,4,12,50,0,0,0,0,1.38
2461,1976,1,1976 Summer,0,AUS,Australia,180,34,20,115,5,0,1,4,1.565
2462,1976,1,1976 Summer,0,AUT,Austria,60,6,15,44,1,0,0,1,1.364
2463,1976,1,1976 Summer,0,BAH,Bahamas,11,1,3,13,0,0,0,0,0.846
2464,1976,1,1976 Summer,0,BAR,Barbados,11,2,2,11,0,0,0,0,1.0
2465,1976,1,1976 Summer,0,BEL,Belgium,101,26,16,80,6,0,3,3,1.262
2466,1976,1,1976 Summer,0,BER,Bermuda,16,1,3,12,1,0,0,1,1.333
2467,1976,1,1976 Summer,0,BIZ,Belize,4,0,2,4,0,0,0,0,1.0
2468,1976,1,1976 Summer,0,BOL,Bolivia,4,0,4,5,0,0,0,0,0.8
2469,1976,1,1976 Summer,0,BRA,Brazil,79,7,12,47,2,0,0,2,1.681
2470,1976,1,1976 Summer,0,BUL,Bulgaria,156,53,14,108,22,6,9,7,1.444
2471,1976,1,1976 Summer,1,CAN,Canada,385,124,23,173,11,0,5,6,2.225
2472,1976,1,1976 Summer,0,CAY,Cayman Islands,2,0,1,1,0,0,0,0,2.0
2473,1976,1,1976 Summer,0,CHI,Chile,7,0,4,8,0,0,0,0,0.875
2474,1976,1,1976 Summer,0,CIV,Cote d'Ivoire,8,1,1,8,0,0,0,0,1.0
2475,1976,1,1976 Summer,0,CMR,Cameroon,4,0,1,1,0,0,0,0,4.0
2476,1976,1,1976 Summer,0,COL,Colombia,35,3,7,30,0,0,0,0,1.167
2477,1976,1,1976 Summer,0,CRC,Costa Rica,5,1,4,9,0,0,0,0,0.556
2478,1976,1,1976 Summer,0,CUB,Cuba,156,24,14,76,13,6,4,3,2.053
